Domain,Scenario,Original Title,Options
Worrying about future challenges,If I’m worried about treatment before it’s started...,Anticipatory Anxiety,"* Practice relaxation techniques (mindfulness, deep breathing)​ 
* Seek pre-treatment counselling or fertility coaching​ 
* Talk openly with your partner or support group about fears​ 
* Focus on controllable factors (sleep, diet, information)"
Worrying about future challenges,If I feel a stigma around IVF treatment...,"Stigma around infertility and assisted reproduction​
","* Connect with online/peer support groups​ 
* Educate close friends/family about infertility to reduce stigma​ 
* Practice self-compassion — infertility is a medical condition, not a personal failure."
Worrying about future challenges,If I feel pressure from my family or friends when we talk about treatment...,Social Pressure from Family or Community​,"* Set healthy boundaries and limit fertility-related discussions​ 
* Communicate clearly with family about your needs​ 
* Engage a counsellor to practice responses to pressure situations"
Worrying about future challenges,If I feel worried about the cost of treatment...,Financial Strain / Affordability Concerns​,"* Save in advance or explore clinic financing options​ 
* Research the true cost of medications and procedures​ 
* Budget for multiple cycles realistically to reduce future pressure. "
Worrying about future challenges,If I feel underprepared...,Lack of Preparedness or Information​,"* Attend pre-IVF education sessions​ 
* Request detailed treatment timelines and expectations​ 
* Prepare mentally and physically — rest, nutrition, planning time off. "
Worrying about future challenges,If I’m worried about the treatment not working...,"Uncertainty About Treatment Outcomes​ ","* Ask your clinic for realistic success rates based on age and health​ 
* Set emotional “check-in points” between decisions​ 
* Accept that uncertainty is part of the process — plan flexible next steps"
Challenges,If I feel physically unwell during treatment...,Negative physical effects of treatment,"* Take time off work  
* Preparing mentally  
* Practising self-care  "
Challenges,If I’m worried about how my body will react to the treatment...,"Not knowing how your body will react ","* Research the effects of treatment, ​ 
* know possible side effects, ​ 
* prepare the body to be in an optimal condition, ​ 
* take treatment one step at a time"
Challenges,If my work or daily activities are affected during treatment...,Negative effect of treatment on work or daily activities,"* Plan in advance 
* Take time off 
* Arrange work around treatment  
* Seek support from the employer  
* Communicate with work colleagues  "
Challenges,If I feel physically unwell during treatment...,Negative emotional effect of treatment,"* Counselling  
* Seeking support from family, friends, partner and support group  
* Remain positive 
* Hopeful and optimistic about treatment success  
* Learn from others  
* Take one thing at a time  "
Challenges,If treatment starts to affect on my relationship...,Burden of treatment on relationship,"* Open, honest and frequent communication with partner  
* Plan to spend time with partner  
* Engage in fun activities  
* Support and understanding for each other in counselling  "
Challenges,If I’m worried that my cycle won’t be successful...,"Coping with the possibility that the cycle is unsuccessful ","* Counselling  
* Seeking support from family, friends, partner and support group  
* Remain positive 
* Hopeful and optimistic about treatment success  
* Being realistic about treatment success from the start  
* Get advice from individuals who have previous experience  "
